f,k0,x,y,Re_U,Im_U
400,7.3919827143289254,-1,0,0.70303930846632179,-1.096048119063203
400,7.3919827143289254,-1,0.020000000000000021,0.70299283721277794,-1.0962531575902477
400,7.3919827143289254,-1,0.040000000000000042,0.70231286083326827,-1.0971308980120127
400,7.3919827143289254,-1,0.060000000000000109,0.70137605995084151,-1.0985070216730501
400,7.3919827143289254,-1,0.080000000000000182,0.69990103111194391,-1.1004824768248698
400,7.3919827143289254,-1,0.1000000000000002,0.69825620258812349,-1.1028814055531209
400,7.3919827143289254,-1,0.1200000000000002,0.69607919405079544,-1.1058549345015334
400,7.3919827143289254,-1,0.14000000000000026,0.69372909949462991,-1.109216579853997
400,7.3919827143289254,-1,0.16000000000000031,0.69091490059253391,-1.113073105450801
400,7.3919827143289254,-1,0.1800000000000003,0.68800512057406449,-1.117222420288533
400,7.3919827143289254,-1,0.20000000000000029,0.68468963544218342,-1.1217843195306056
400,7.3919827143289254,-1,0.22000000000000036,0.68133434632793299,-1.126546676938238
400,7.3919827143289254,-1,0.24000000000000041,0.67765135152107914,-1.1316203223781747
400,7.3919827143289254,-1,0.26000000000000045,0.6740036546524788,-1.136782894111187
400,7.3919827143289254,-1,0.28000000000000053,0.67010527009266874,-1.1421513145228663
400,7.3919827143289254,-1,0.30000000000000049,0.66633215953603397,-1.1474837401595717
400,7.3919827143289254,-1,0.32000000000000051,0.66239326268169729,-1.1529096573646855
400,7.3919827143289254,-1,0.34000000000000041,0.65865606757004813,-1.1581809386203772
400,7.3919827143289254,-1,0.36000000000000038,0.65483822956469862,-1.1634323576016259
400,7.3919827143289254,-1,0.38000000000000039,0.65131129687186795,-1.1684054700057649
400,7.3919827143289254,-1,0.40000000000000041,0.64777886576251431,-1.173255678130674
400,7.3919827143289254,-1,0.42000000000000037,0.6446189065999367,-1.1777124888062223
400,7.3919827143289254,-1,0.44000000000000028,0.6415276799357803,-1.1819497651225341
400,7.3919827143289254,-1,0.46000000000000024,0.6388720699571937,-1.1856973452014523
400,7.3919827143289254,-1,0.4800000000000002,0.63635042225282556,-1.1891413168959197
400,7.3919827143289254,-1,0.50000000000000022,0.63431812922412323,-1.1920160603443886
400,7.3919827143289254,-1,0.52000000000000013,0.632483976890304,-1.1945099462803923
